BNII,325,208943,209268
FIRE,324,209268,209592
KKES,323,209592,209915
TUGU,323,209915,210238
SMSM,319,210238,210557
HEAL,318,210557,210875
SOCI,316,210875,211191
IMAS,312,211191,211503
KEEN,311,211503,211814
WGSH,310,211814,212124
PSSI,308,212124,212432
ENZO,306,212432,212738
PRDA,306,212738,213044
STAA,304,213044,213348
AMAN,303,213348,213651
RAJA,302,213651,213953
TNCA,302,213953,214255
FPNI,300,214255,214555
TOPS,300,214555,214855
AHAP,297,214855,215152
KUAS,297,215152,215449
SDPC,297,215449,215746
MPOW,295,215746,216041
CENT,294,216041,216335
DRMA,292,216335,216627
JSKY,290,216627,216917
SMDM,288,216917,217205
SILO,287,217205,217492
CLPI,286,217492,217778
INDX,285,217778,218063
NELY,285,218063,218348
PACK,283,218348,218631
PICO,283,218631,218914
SBMA,282,218914,219196
BESS,278,219196,219474
BANK,273,219474,219747
ISAT,272,219747,220019
MTPS,272,220019,220291
OBMD,272,220291,220563
DGNS,269,220563,220832
GTSI,264,220832,221096
BAPA,260,221096,221356
INDO,259,221356,221615
MDKI,258,221615,221873
PMMP,254,221873,222127
SAME,253,222127,222380
PPGL,252,222380,222632
PALM,250,222632,222882
TECH,248,222882,223130
PSAB,246,223130,223376
ESTA,245,223376,223621
WSBP,244,223621,223865
PNBN,243,223865,224108
CSRA,240,224108,224348
RBMS,239,224348,224587
TRIN,236,224587,224823
AGRS,235,224823,225058
NPGF,232,225058,225290
SQMI,232,225290,225522
ROTI,230,225522,225752
BNBA,229,225752,225981
GMFI,228,225981,226209
MAPA,228,226209,226437
TRUK,228,226437,226665
RUIS,227,226665,226892
IKAN,225,226892,227117
SBAT,225,227117,227342
BEBS,223,227342,227565
ACST,221,227565,227786
SSMS,220,227786,228006
VTNY,220,228006,228226
DFAM,219,228226,228445
BCIP,218,228445,228663
NRCA,218,228663,228881
KAYU,214,228881,229095
PCAR,214,229095,229309
TPIA,214,229309,229523
DYAN,213,229523,229736
MTMH,213,229736,229949
CBMF,212,229949,230161
ADES,211,230161,230372
MTWI,211,230372,230583
PBSA,210,230583,230793
BOLA,209,230793,231002
PBID,208,231002,231210
RMKE,208,231210,231418
RCCC,207,231418,231625
ASGR,204,231625,231829
BMHS,203,231829,232032
DLTA,203,232032,232235
WAPO,203,232235,232438
KINO,201,232438,232639
MCOL,200,232639,232839
APEX,199,232839,233038
BULL,199,233038,233237
BBRM,197,233237,233434
BUAH,197,233434,233631
MERK,197,233631,233828
TAXI,194,233828,234022
BUDI,193,234022,234215
ARII,190,234215,234405
DSFI,190,234405,234595
ENAK,190,234595,234785
SRSN,190,234785,234975
MAIN,189,234975,235164
OASA,188,235164,235352
ALTO,184,235352,235536
EPAC,183,235536,235719
NIKL,183,235719,235902
DNAR,182,235902,236084
LUCK,182,236084,236266
NZIA,182,236266,236448
PRIM,180,236448,236628
OPMS,178,236628,236806
LTLS,177,236806,236983
TAMA,176,236983,237159
MEGA,175,237159,237334
LABA,174,237334,237508
TRIM,173,237508,237681
PPRE,171,237681,237852
TRIS,171,237852,238023
JRPT,170,238023,238193
ITMA,167,238193,238360
CBUT,165,238360,238525
SSIA,165,238525,238690
BCIC,164,238690,238854
BKSW,162,238854,239016
KBLV,161,239016,239177
DGIK,160,239177,239337
EPMT,159,239337,239496
BISI,158,239496,239654
MITI,158,239654,239812
INPC,157,239812,239969
UNIQ,154,239969,240123
CEKA,153,240123,240276
GGRP,153,240276,240429
JMAS,152,240429,240581
PZZA,152,240581,240733
MLBI,151,240733,240884
MINA,150,240884,241034
PJAA,150,241034,241184
SWAT,150,241184,241334
MDIA,149,241334,241483
MRAT,148,241483,241631
MSKY,148,241631,241779
TRJA,147,241779,241926
CSIS,146,241926,242072
JAWA,146,242072,242218
POLL,146,242218,242364
SGRO,146,242364,242510
TGRA,146,242510,242656
ATAP,144,242656,242800
BIMA,143,242800,242943
ERTX,143,242943,243086
WOMF,143,243086,243229
MCOR,142,243229,243371
KBLM,141,243371,243512
PTSN,141,243512,243653
UVCR,139,243653,243792
ELTY,138,243792,243930
OILS,138,243930,244068
ANDI,137,244068,244205
DADA,133,244205,244338
ESTI,133,244338,244471
INAF,133,244471,244604
SMAR,132,244604,244736
INOV,131,244736,244867
DVLA,129,244867,244996
MMLP,129,244996,245125
GPSO,128,245125,245253
MLPT,125,245253,245378
NASA,125,245378,245503
KBLI,124,245503,245627
SAMF,123,245627,245750
BMSR,122,245750,245872
LPIN,122,245872,245994
BNLI,121,245994,246115
HRME,119,246115,246234
MAYA,119,246234,246353
BLUE,118,246353,246471
IMJS,117,246471,246588
CNKO,116,246588,246704
CASS,115,246704,246819
FORU,115,246819,246934
IRRA,115,246934,247049
TARA,115,247049,247164
FAST,114,247164,247278
UCID,114,247278,247392
AKSI,113,247392,247505
VIVA,113,247505,247618
LINK,112,247618,247730
SULI,112,247730,247842
SMKM,111,247842,247953
SOFA,109,247953,248062
AMAG,106,248062,248168
ICON,105,248168,248273
TIRT,105,248273,248378
BKDP,103,248378,248481
IGAR,103,248481,248584
POLY,103,248584,248687
PURE,103,248687,248790
RICY,103,248790,248893
RODA,102,248893,248995
ZYRX,102,248995,249097
BLTA,101,249097,249198
MGLV,101,249198,249299
PEHA,101,249299,249400
AMFG,100,249400,249500
ALDO,99,249500,249599
MBSS,99,249599,249698
BOBA,97,249698,249795
PTIS,97,249795,249892
KARW,96,249892,249988
VICO,96,249988,250084
PLAN,95,250084,250179
POLA,94,250179,250273
TELE,94,250273,250367
AKKU,93,250367,250460
CMNP,91,250460,250551
SMKL,89,250551,250640
SHIP,87,250640,250727
NOBU,86,250727,250813
ADMG,85,250813,250898
AMIN,84,250898,250982
BTPN,83,250982,251065
IKAI,83,251065,251148
LUCY,83,251148,251231
CARE,82,251231,251313
ITIC,82,251313,251395
FOOD,80,251395,251475
PADI,78,251475,251553
PANR,77,251553,251630
BBSS,76,251630,251706
CASH,76,251706,251782
DEAL,76,251782,251858
DEPO,76,251858,251934
IPOL,76,251934,252010
MICE,76,252010,252086
BEEF,74,252086,252160
RANC,74,252160,252234
MTLA,72,252234,252306
VRNA,72,252306,252378
GSMF,71,252378,252449
HOMI,71,252449,252520
SINI,71,252520,252591
CITY,70,252591,252661
MIRA,70,252661,252731
RUNS,70,252731,252801
TMPO,70,252801,252871
KEJU,68,252871,252939
PAMG,68,252939,253007
PSDN,68,253007,253075
RIGS,68,253075,253143
SDRA,68,253143,253211
SRAJ,68,253211,253279
MOLI,67,253279,253346
TAMU,66,253346,253412
KMDS,64,253412,253476
SATU,64,253476,253540
PMJS,63,253540,253603
KIAS,62,253603,253665
DMND,61,253665,253726
NFCX,60,253726,253786
SKRN,60,253786,253846
INPS,59,253846,253905
KDSI,59,253905,253964
ASMI,58,253964,254022
DIVA,58,254022,254080
BINO,57,254080,254137
JTPE,57,254137,254194
PKPK,57,254194,254251
SMCB,57,254251,254308
ASDM,55,254308,254363
GWSA,55,254363,254418
MSIN,55,254418,254473
URBN,55,254473,254528
FLMC,54,254528,254582
UNIC,54,254582,254636
PSGO,53,254636,254689
DNET,52,254689,254741
HITS,52,254741,254793
BIPP,51,254793,254844
BSIM,51,254844,254895
CCSI,51,254895,254946
DPNS,51,254946,254997
INCI,50,254997,255047
APII,49,255047,255096
BAPI,49,255096,255145
LRNA,49,255145,255194
KICI,48,255194,255242
MAPB,48,255242,255290
ALKA,47,255290,255337
IFII,47,255337,255384
LPCK,47,255384,255431
SKBM,47,255431,255478
ALMI,46,255478,255524
PGUN,46,255524,255570
CSAP,45,255570,255615
IFSH,45,255615,255660
